seed,n,dev_acc,test_acc,method
0,1000,51.79,52.568,ELV
0,2500,88.57,88.576,ELV
0,5000,93.42,93.216,ELV
0,1000,62.6,63.022,textcat
0,2500,89.81,89.248,textcat
0,5000,93.17,92.502,textcat
1,1000,54.05,53.688,ELV
1,2500,88.07,88.19,ELV
1,5000,93.55,93.478,ELV
1,1000,60.98,59.504,textcat
1,2500,89.72,89.4,textcat
1,5000,92.93,93.05,textcat
2,1000,52.97,52.682,ELV
2,2500,88.65,87.928,ELV
2,5000,93.62,93.656,ELV
2,1000,58.98,59.208,textcat
2,2500,89.07,88.63,textcat
2,5000,91.72,91.858,textcat
0,7500,96.09,96.034,ELV
0,10000,95.71,95.742,ELV
0,7500,95.85,95.556,textcat
0,10000,97.45,97.478,textcat
1,7500,96.23,95.934,ELV
1,10000,97.15,97.2,ELV
1,7500,95.74,95.884,textcat
1,10000,96.46,96.434,textcat
2,7500,95.45,95.624,ELV
2,10000,96.62,97.02,ELV
2,7500,96.07,95.952,textcat
2,10000,97.48,97.616,textcat
0,1500,59.04,59.04,ELV
0,1500,67.66,67.15,textcat
1,1500,56.08,55.614,ELV
1,1500,67.19,66.91,textcat
2,1500,64.22,63.918,ELV
2,1500,73.8,73.078,textcat
