seed,signal_task,num_tasks,dev_acc,test_acc,model
0,0,500,57.01,56.152,roberta-base
0,0,250,62.14,61.288,roberta-base
0,0,100,70.46,70.486,roberta-base
0,0,50,85.41,85.434,roberta-base
0,0,25,94.2,94.108,roberta-base
0,1,500,62.26,62.19,roberta-base
0,1,250,66.66,66.12,roberta-base
0,1,100,76.26,75.936,roberta-base
0,1,50,87.98,87.386,roberta-base
0,1,25,95.27,95.152,roberta-base
0,2,500,98.38,98.382,roberta-base
0,2,250,98.08,98.158,roberta-base
0,2,100,99.15,99.056,roberta-base
0,2,50,99.19,99.03,roberta-base
0,2,25,99.25,99.13,roberta-base
0,0,10,98.06,97.874,roberta-base
0,0,5,99.24,99.168,roberta-base
0,0,2,99.78,99.77,roberta-base
0,1,10,98.28,97.972,roberta-base
0,1,5,99.34,99.204,roberta-base
0,1,2,99.83,99.822,roberta-base
0,2,10,99.17,99.09,roberta-base
0,2,5,99.58,99.5,roberta-base
0,2,2,99.87,99.926,roberta-base
0,0,2,99.73,99.666,roberta-large
0,0,5,98.9,98.884,roberta-large
0,0,10,98.59,98.35,roberta-large
0,0,50,88.14,88.08,roberta-large
0,0,100,75.03,75.448,roberta-large
0,0,250,56.76,56.62,roberta-large
0,0,500,53.75,53.202,roberta-large
0,1,2,99.65,99.61,roberta-large
0,1,5,98.98,98.866,roberta-large
0,1,50,90.97,90.422,roberta-large
0,1,100,79.93,79.84,roberta-large
0,1,250,62.38,61.82,roberta-large
0,1,500,55.36,55.44,roberta-large
0,0,25,95.33,95.038,roberta-large
0,1,25,95.89,95.942,roberta-large
